                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.68612,                0.71544,                 1.0495,                0.81131,                0.84852,                0.88629,                0.73672,                0.63076,                0.70252,                0.99376,              0.0013998,              0.0013998,              0.0013998
                     36,                0.66296,                0.70981,                 1.0491,                0.84803,                0.85088,                0.90117,                0.75434,                0.62658,                0.64106,                 0.9863,              0.0013919,              0.0013919,              0.0013919
                     37,                 0.6708,                0.71292,                 1.0423,                0.84567,                0.80434,                0.88788,                0.73953,                 0.6347,                0.68304,                 1.0062,              0.0013841,              0.0013841,              0.0013841
                     38,                0.67249,                0.72016,                 1.0575,                0.84084,                 0.8554,                 0.8996,                0.75354,                0.61873,                0.63394,                0.98677,              0.0013762,              0.0013762,              0.0013762
                     39,                0.65575,                0.68484,                 1.0301,                0.84199,                0.86419,                0.90323,                0.75908,                0.61688,                0.64534,                  0.987,              0.0013684,              0.0013684,              0.0013684
                     40,                 0.6508,                0.68885,                 1.0414,                0.85666,                0.83775,                 0.8948,                0.75735,                0.60762,                0.65155,                0.98786,              0.0013605,              0.0013605,              0.0013605
                     41,                0.66783,                0.69506,                  1.038,                0.85297,                0.82238,                0.89929,                0.75069,                0.61377,                0.64744,                0.99324,              0.0013527,              0.0013527,              0.0013527
                     42,                 0.6498,                0.65453,                 1.0306,                 0.8519,                0.82037,                0.88742,                0.73358,                0.63025,                0.69165,                0.98614,              0.0013448,              0.0013448,              0.0013448
                     43,                0.65108,                0.67473,                 1.0341,                0.85093,                0.82348,                0.89516,                0.74265,                0.62434,                0.64564,                 1.0049,              0.0013369,              0.0013369,              0.0013369
                     44,                0.63792,                0.66209,                 1.0332,                0.84974,                0.85178,                0.89617,                0.76099,                0.59463,                0.63837,                0.97139,              0.0013291,              0.0013291,              0.0013291
                     45,                0.62378,                0.64125,                 1.0277,                0.84753,                0.81547,                 0.8779,                0.73902,                0.61547,                0.68728,                  1.016,              0.0013212,              0.0013212,              0.0013212
                     46,                0.60677,                0.62192,                 1.0043,                0.84715,                0.82373,                0.89543,                0.75077,                0.62239,                0.65424,                0.98892,              0.0013134,              0.0013134,              0.0013134
                     47,                0.62699,                0.63426,                 1.0327,                0.82289,                0.85528,                0.88198,                0.74703,                0.59679,                0.68376,                0.98468,              0.0013055,              0.0013055,              0.0013055
                     48,                0.63764,                0.64335,                 1.0314,                0.84926,                0.84639,                0.89142,                0.73305,                0.62037,                0.66058,                0.99152,              0.0012976,              0.0012976,              0.0012976
                     49,                0.62636,                0.62557,                 1.0206,                0.87081,                0.83164,                0.89767,                0.75339,                0.59513,                0.65163,                0.97646,              0.0012898,              0.0012898,              0.0012898
                     50,                0.63555,                0.64324,                 1.0312,                0.86707,                0.79491,                0.88315,                0.73533,                0.61521,                 0.6773,                 1.0036,              0.0012819,              0.0012819,              0.0012819
                     51,                0.61548,                0.62287,                  1.012,                0.89965,                0.82898,                0.91488,                0.77259,                0.59345,                0.61588,                0.98608,              0.0012741,              0.0012741,              0.0012741
                     52,                0.62127,                0.62924,                 1.0169,                0.87333,                0.84534,                0.90478,                0.76476,                0.59605,                0.63985,                0.98922,              0.0012662,              0.0012662,              0.0012662
                     53,                 0.6177,                0.60647,                 1.0059,                0.87557,                0.84891,                 0.9009,                  0.767,                0.59196,                0.62258,                0.97453,              0.0012583,              0.0012583,              0.0012583
                     54,                0.62251,                0.60786,                 1.0156,                0.86336,                0.84986,                0.89922,                0.76562,                0.59561,                0.63393,                0.98762,              0.0012505,              0.0012505,              0.0012505
                     55,                 0.6172,                0.62229,                 1.0173,                 0.8661,                0.87256,                0.90065,                0.76903,                0.59007,                 0.6264,                0.98332,              0.0012426,              0.0012426,              0.0012426
                     56,                0.61785,                0.60864,                 1.0103,                0.87833,                 0.8257,                0.90233,                0.77035,                0.57529,                0.62334,                 0.9627,              0.0012348,              0.0012348,              0.0012348
                     57,                0.60229,                 0.5959,                 1.0097,                  0.847,                0.85678,                 0.8956,                0.77691,                0.57137,                0.62193,                0.95937,              0.0012269,              0.0012269,              0.0012269
                     58,                0.59962,                0.58907,                 1.0053,                0.85405,                0.86733,                0.91081,                0.78259,                0.56291,                0.61259,                0.95537,              0.0012191,              0.0012191,              0.0012191
                     59,                0.58514,                0.58306,                0.99901,                 0.8821,                0.84433,                0.90529,                0.78466,                0.55169,                0.60321,                0.94737,              0.0012112,              0.0012112,              0.0012112
                     60,                0.58333,                0.58773,                0.99926,                0.86321,                0.83322,                0.90304,                 0.7738,                0.56455,                0.61512,                0.96243,              0.0012033,              0.0012033,              0.0012033
